#EXPORTTYPE:DATA SINGLE							
#FILE:A+.ngb-sla							
#FORMAT:NETZSCH5							
#FTYPE:ANSI							
#IDENTITY:A-2+							
#DECIMAL:POINT							
#SEPARATOR:SEMICOLON							
#MTYPE:DIL							
#INSTRUMENT:NETZSCH DIL 402SE							
#PROJECT:1							
#DATE/TIME:10.12.2019 13:35							
#CORR. FILE:							
#TEMPCAL:TCALZERO.TMX							
#LABORATORY:1							
#OPERATOR:1							
#REMARK:							
#SAMPLE:A-2+							
#SAMPLE LENGTH /mm:23.75							
#MATERIAL:							
#MEASMODE:Standard Expansion							
#M.RANGE /¶Ãm:20000							
#CORR. CODE:010							
#RANGE:-110°„C/5.0(K/min)/200°„C							
#SEGMENT:S1/1							
#SEG. 1:-110°„C/5.0(K/min)/200°„C							
							
##Temp./°„C	Time/min	dL/Lo					
-43.3	13.39346	7.4594E-05					
-43.2	13.41323	7.47689E-05					
-43.1	13.43299	7.49778E-05					
-43	13.45278	7.52026E-05					
-42.9	13.47257	7.52214E-05					
-42.8	13.49236	7.55049E-05					
-42.7	13.51213	7.56247E-05					
-42.6	13.53191	7.58157E-05					
-42.5	13.55168	7.59358E-05					
-42.4	13.57148	7.60837E-05					
-42.3	13.59128	7.62676E-05					
-42.2	13.61108	7.63529E-05					
-42.1	13.63092	7.65922E-05					
-42	13.6507	7.67167E-05					
-41.9	13.67052	7.69336E-05					
-41.8	13.69036	7.69348E-05					
-41.7	13.71019	7.71866E-05					
-41.6	13.73001	7.73057E-05					
-41.5	13.74986	7.7357E-05					
-41.4	13.7697	7.7601E-05					
-41.3	13.78957	7.76788E-05					
-41.2	13.80941	7.78493E-05					
-41.1	13.82929	7.79922E-05					
